40 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
T1 1
T2 2
T3 3
T4 4
L1 5
L2 6
L3 7
L4 8
J1 9
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
T1 1
T2 2
T3 3
T4 4
L1 9
L2 8
L3 7
L4 6
J1 5
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
O 1
O 1
O 1
O 1
O 1
O 1
O 6
I2 3
I1 8
I1 8
I1 11
I1 11
I1 14
I2 9
T1 13
I2 1
I2 8
I2 12
J3 7
J4 3
I1 6
I1 15
I1 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
T1 1
T2 2
T3 3
T4 4
L1 5
L2 6
L3 7
L4 8
J1 9
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
T1 1
T2 2
T3 3
T4 4
L1 9
L2 8
L3 7
L4 6
J1 5
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
O 1
O 1
O 1
O 1
O 1
O 1
O 6
I2 3
I1 8
I1 8
I1 11
I1 11
I1 14
I2 9
T1 13
I2 1
I2 8
I2 12
J3 7
J4 3
I1 6
I1 15
I1 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
T1 1
T2 2
T3 3
T4 4
L1 5
L2 6
L3 7
L4 8
J1 9
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
T1 1
T2 2
T3 3
T4 4
L1 9
L2 8
L3 7
L4 6
J1 5
J2 10
J3 11
J4 12
S1 13
S2 1
Z1 2
Z2 3
I2 4
I1 5
O 6
O 1
O 1
O 1
O 1
O 1
O 1
O 6
I2 3
I1 8
I1 8
I1 11
I1 11
I1 14
I2 9
T1 13
I2 1
I2 8
I2 12
J3 7
J4 3
I1 6
I1 15
I1 15
End
